group,variable,value
vigencia_carrera_VIGENTE SIN ALUMNOS NUEVOS,cat_periodo,0.05031365667157752
vigencia_carrera_VIGENTE CON ALUMNOS NUEVOS,cat_periodo,0.1991347182102644
tipo_plan_carr_Plan Regular de Continuidad,cat_periodo,0.010857508183119093
tipo_plan_carr_Plan Regular,cat_periodo,-0.001516523931917101
tipo_plan_carr_Plan Especial,cat_periodo,0.00041518552507140215
requisito_ingreso_Título Profesional,cat_periodo,0.033264188800656555
requisito_ingreso_Técnico de Nivel Superior,cat_periodo,0.025934421363293755
requisito_ingreso_Postítulo,cat_periodo,0.0008226591422248774
requisito_ingreso_Plan Común,cat_periodo,0.007291942881650103
requisito_ingreso_Magíster,cat_periodo,0.004152035993521589
requisito_ingreso_Licenciatura,cat_periodo,0.03486713191668277
requisito_ingreso_Especialidad Médica u Odontológica,cat_periodo,0.0013886239366643312
requisito_ingreso_Educación Media,cat_periodo,0.19336255386678805
requisito_ingreso_Ciclo Básico,cat_periodo,0.0008226591422248064
requisito_ingreso_Bachillerato,cat_periodo,0.0012481087516806274
rango_edad_40 y más años,cat_periodo,0.00362785860616101
rango_edad_35 a 39 años,cat_periodo,0.002721665393204008
rango_edad_30 a 34 años,cat_periodo,0.0042561187989213186
rango_edad_25 a 29 años,cat_periodo,0.0034707941321445363
rango_edad_20 a 24 años,cat_periodo,-0.004524394877647138
rango_edad_15 a 19 años,cat_periodo,-0.0031867362444560825
modalidad_Semipresencial,cat_periodo,0.006356185890176253
modalidad_Presencial,cat_periodo,-0.00782764132901957
modalidad_No Presencial,cat_periodo,0.0048499321290026475
jornada_Vespertino,cat_periodo,0.004402969034850618
jornada_Semipresencial,cat_periodo,0.00480365709735727
jornada_Otro,cat_periodo,-0.0044942474831651405
jornada_Diurno,cat_periodo,-0.004923526760383421
jornada_A Distancia,cat_periodo,0.0048499321290026475
acreditada_inst_NO ACREDITADA,cat_periodo,0.0026545278975475504
acreditada_inst_ACREDITADA,cat_periodo,-0.00265452789754755
acreditada_carr_NO ACREDITADA,cat_periodo,-0.027860653139008405
acreditada_carr_ACREDITADA,cat_periodo,0.028208403234116143
tipo_inst_2_Universidades Privadas,cat_periodo,-0.0038766516801676774
tipo_inst_2_Universidades CRUCH,cat_periodo,-0.002067875404442725
tipo_inst_2_Universidades (* Carrera en Convenio),cat_periodo,
tipo_inst_2_Institutos Profesionales,cat_periodo,0.007856696912699941
tipo_inst_2_Centros de Formación Técnica,cat_periodo,-0.002023428192258339
area_conocimiento_Tecnología,cat_periodo,0.004652769544390852
area_conocimiento_Sin área definida,cat_periodo,-0.0013507748583879565
area_conocimiento_Salud,cat_periodo,0.0003786593440270362
area_conocimiento_Humanidades,cat_periodo,-0.0011519010637221446
area_conocimiento_Educación,cat_periodo,-0.004511932524930694
area_conocimiento_Derecho,cat_periodo,-0.002177509385538514
area_conocimiento_Ciencias Sociales,cat_periodo,-0.0007230836964649697
area_conocimiento_Ciencias Básicas,cat_periodo,5.407455020426272e-05
area_conocimiento_Arte y Arquitectura,cat_periodo,-0.0024160973460872178
area_conocimiento_Agropecuaria,cat_periodo,-0.0017967961549584797
area_conocimiento_Administración y Comercio,cat_periodo,0.0027462718323819557
region_sede_Ñuble,cat_periodo,0.0004819771086178632
region_sede_Valparaíso,cat_periodo,-0.0009706098294536716
region_sede_Tarapacá,cat_periodo,3.869544814038228e-05
region_sede_Metropolitana,cat_periodo,0.000786824442428912
region_sede_Maule,cat_periodo,-0.002277687345785016
region_sede_Magallanes,cat_periodo,-0.00046449633211897713
region_sede_Los Ríos,cat_periodo,0.00019032549381234519
region_sede_Los Lagos,cat_periodo,0.0011498027075887247
region_sede_Lib. Gral B. O'Higgins,cat_periodo,0.0014294350736837342
region_sede_La Araucanía,cat_periodo,0.0008415051501531693
region_sede_Coquimbo,cat_periodo,-0.00038372746771277166
region_sede_Biobío,cat_periodo,6.249948117222505e-06
region_sede_Aysén,cat_periodo,0.0006402768006345442
region_sede_Atacama,cat_periodo,-0.0006992031600092965
region_sede_Arica y Parinacota,cat_periodo,-0.0005244601495305807
region_sede_Antofagasta,cat_periodo,-0.0002568134201950721
nivel_carrera_2_Postítulo,cat_periodo,-0.0003484324036768208
nivel_carrera_2_Magister,cat_periodo,0.002900744219301372
nivel_carrera_2_Doctorado,cat_periodo,0.0008437885123099825
nivel_carrera_2_Carreras Técnicas,cat_periodo,0.004309350753305212
nivel_carrera_2_Carreras Profesionales,cat_periodo,-0.0051523495408026644
acre_inst_anio,cat_periodo,0.07522339910933898
codigo_demre,cat_periodo,0.012750596383594208
valor_arancel,cat_periodo,0.2551327664450401
valor_matricula,cat_periodo,0.17828505906729808
dur_total_carr,cat_periodo,-0.05259285393762591
dur_proceso_tit,cat_periodo,-0.08120041198721313
dur_estudio_carr,cat_periodo,-0.021861520009988783
version,cat_periodo,0.16816230243837585
cod_carrera,cat_periodo,0.17229247552905638
cod_sede,cat_periodo,0.06004774287669334
cod_inst,cat_periodo,0.002560879003344883
