group,variable,value
GEN_ALU,GEN_ALU,1.0
GEN_ALU,rango_edad_15 a 19 años,0.04080977151799398
GEN_ALU,rango_edad_20 a 24 años,0.016438765023977668
GEN_ALU,rango_edad_25 a 29 años,-0.0340712075533108
GEN_ALU,rango_edad_30 a 34 años,-0.016441770449106892
GEN_ALU,rango_edad_35 a 39 años,-0.013626052404891714
GEN_ALU,rango_edad_40 y más años,-0.007392368500160011
GEN_ALU,tipo_inst_3_Centros de Formación Técnica,0.008415675774009005
GEN_ALU,tipo_inst_3_Institutos Profesionales,0.029396621871221818
GEN_ALU,tipo_inst_3_Universidades Estatales CRUCH,-0.060987738985410926
GEN_ALU,tipo_inst_3_Universidades Privadas,0.04523740347777417
GEN_ALU,tipo_inst_3_Universidades Privadas CRUCH,-0.030612587516550552
GEN_ALU,jornada_A Distancia,-0.0009911812333460155
GEN_ALU,jornada_Diurno,0.060337872621637555
GEN_ALU,jornada_Otro,0.0019703759513404703
GEN_ALU,jornada_Semipresencial,0.022227618336155316
GEN_ALU,jornada_Vespertino,-0.06513941050305187
GEN_ALU,tipo_plan_carr_Plan Especial,-0.04520673806466579
GEN_ALU,tipo_plan_carr_Plan Regular,0.05527624017280541
GEN_ALU,tipo_plan_carr_Plan Regular de Continuidad,-0.03588247054406604
GEN_ALU,dur_estudio_carr,-0.048773983520849475
GEN_ALU,"nivel_carrera_1_Bachillerato, Ciclo Inicial o Plan Común",-0.009491480171373539
GEN_ALU,nivel_carrera_1_Licenciatura No Conducente a Título,0.001968433212703912
GEN_ALU,nivel_carrera_1_Profesional Con Licenciatura,0.00461170769905265
GEN_ALU,nivel_carrera_1_Profesional Sin Licenciatura,-0.05094815439591754
GEN_ALU,nivel_carrera_1_Técnico de Nivel Superior,0.04627136928561996
GEN_ALU,oecd_area_Agricultura,-0.010672967215100644
GEN_ALU,oecd_area_Ciencias,-0.12830728774521424
GEN_ALU,"oecd_area_Ciencias Sociales, Enseñanza Comercial y Derecho",0.038385734058670434
GEN_ALU,oecd_area_Educación,0.1894107376914238
GEN_ALU,oecd_area_Humanidades y Artes,-0.003687826558095434
GEN_ALU,"oecd_area_Ingeniería, Industria y Construcción",-0.29062084350964346
GEN_ALU,oecd_area_Salud y Servicios Sociales,0.21392145586797207
GEN_ALU,oecd_area_Servicios,-0.029464798179300228
GEN_ALU,oecd_area_Sin área definida,-0.006810800855308938
GEN_ALU,acreditada_carr_False,-0.024644454437080784
GEN_ALU,acreditada_carr_True,0.02468799130929748
GEN_ALU,acreditada_inst,-0.059597217535110165
GEN_ALU,anio_en_carr_actual,0.0036063650431074627
GEN_ALU,Class,-0.05112240726345911
rango_edad_15 a 19 años,GEN_ALU,0.04080977151799398
rango_edad_15 a 19 años,rango_edad_15 a 19 años,1.0
rango_edad_15 a 19 años,rango_edad_20 a 24 años,-0.39889147553969406
rango_edad_15 a 19 años,rango_edad_25 a 29 años,-0.20518620158796952
rango_edad_15 a 19 años,rango_edad_30 a 34 años,-0.11804511472261009
rango_edad_15 a 19 años,rango_edad_35 a 39 años,-0.08142373453513313
rango_edad_15 a 19 años,rango_edad_40 y más años,-0.08046994445002924
rango_edad_15 a 19 años,tipo_inst_3_Centros de Formación Técnica,-0.004640488623575821
rango_edad_15 a 19 años,tipo_inst_3_Institutos Profesionales,-0.07545512107016965
rango_edad_15 a 19 años,tipo_inst_3_Universidades Estatales CRUCH,0.10002939602967979
